text,label
"Perkantoran Kencana, Taman Aries Blok D1/3 U-CD ", 1
"Perum Citra 2 Ext Blok BG-3B No.31", 1
"Jl. Raya Pos Pengumben No. 11", 1
"Jl. Raya Pos Pengumben No. 11", 1
"Jl. Latumeten No. 33", 1
"Jl. Aipda KS. Tubun No. 92 - 94", 1
"Plaza Slipi Jaya, Jl. Letjen S. Parman Kav. 17-18", 1
"The Foodhall, Jl. Perjuangan Raya Kedoya", 1
"Central Park, Jl. Tanjung Duren Raya", 1
"Jl. Tomang Raya No. 41", 1
"Jl. Kintamani Raya, Jl. Tanah Lot", 1
"Mall Puri Indah, Jl. Puri Agung Raya", 1
"Mal Ciputra, Jl. Letjend. S. Parman", 1
"St. Moritz Mall Lantai 2 No. 50 RT002/RW002", 1
"Jl. Tanjung Duren Raya No. 1G RT003/RW005", 1
"Jl. Hayam Wuruk No. 72", 1
"Jl. Letjen. S.Parman Kav. 28", 1
"Jl. Hayam Wuruk No. 126", 1
"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman", 1
"Jl. Raya Perjuangan No. 1", 1
"Komp. Graha Mas Blok B.25, Jl. Raya Perjuangan ", 1
"Ranch Market Headquarter, Jl. Pesanggrahan Raya", 1
"Jl. Pesanggrahan No. 8", 1
"The Bale Kawasan Daan Mogot Baru C1-C2, Jl. Daan Mogot Raya KM. 16", 1
"ST. Moritz Puri Indah Lt. G, Jl. Komp. Perum Puri", 1
"Jl. Letjen. S.Parman Kav. 72", 1
"Seasons City, Jl. Prof. Dr. Latumenten No. 33", 1
"Ciputra Mal, Jl. Letjend S. Parman", 1
"Gd. House of Blessing, Jl. Lingkar Luar Barat No. 108", 1
"Mal Matahari, Jl. Daan Mogot Raya KM.16", 1
"Jl. Hayam Wuruk No. 126", 1
"Jl. Hayam Wuruk No. 72", 1
"Jl. Hayam Wuruk No. 108", 1
"Jl. Letjen. S.Parman", 1
"Jl. Letjen.S.Parman Kav. 28", 1
"Jl. Letjen.S.Parman Kav. 28", 1
"Jl. E Ujung No. 8 RT002/RW003", 1
"Jl. Letjen. S. Parman Kav. 57", 1
"Jl. Kali Besar Barat No. 44 - 46", 1
"Komplek Mutiara Taman Palem Blok C 1 No. 1", 1
"Prisma Kedoya Plaza, Jl. Raya Perjuangan", 1
"Jl. Mangga Besar Raya No. 57A", 1
"Central Park, Jl. Letjen. S.Parman", 1
"Jl. Letjen. S.Parman", 1
"Pertokoan Glodok Blustru, Jl. Blustru Lt. 7", 1
"Jl. Letjen. S.Parman Kav.21", 1
"Mal Taman Anggrek, Jl. Letjen. S. Parman", 1
"Jl. Lingkar Luar Kamal Blok B17", 1
