nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
1001 Entertainment Club,"Jl. Kunir No. 7, Pinangsia",PT. Perkasa Tunggal Mandiri,Stanislaus Raymer Jacob,Jakarta Barat,021 6907575,021 6907575,Restoran,10/50/B
9 Square Pool & Resto,Jl. Anggrek Cakra No. 7 RT004/RW006,PT. Linijati Arthaprima,Novarmi Bakti Massewa,Jakarta Barat,021 53691026,021 53691029,Restoran,48/123/A
99.0,Jl. Mangga Besar Raya No. 2B,Martin Santoso,Martin Santoso,Jakarta Barat,021 6291419,021 6291419,Restoran,16/80/A
A & W Family,"Jl. Kamal Raya Outer Ring Road, Cengkareng",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,,,Restoran,10/40/B
A & W Family,Jl. Pancoran No. 23,PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,,,Restoran,10/40/A
A & W Family,"Roxi Square, Jl. Kyai Tapa 1 RT001/RW011",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,021 6623456,021 66605852,Restoran,15/60/A
A & W Family,Jl. Mangga Besar Raya No. 81,PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,,,Restoran,10/40/B
A & W Family,"Ruko Meruya One Unit 1B,1C,1D, Jl. Meruya Ilir",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,,,Restoran,10/40/B
A & W Family,"Matahari Mal, Jl. Daan Mogot Km. 15,6",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,021 6623456,021 66605852,Restoran,8/15/C
A & W Family,Jl. Tomang Tol Raya Blok I No. 23-25,PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,021 6623456,021 66605852,Restoran,15/60/A
A & W Family,"Mal Ciputra LG 43, Jl. Letjen.S. Parman",PT. Biru Fast Food Nusantara Ltd.,Zaina Siman,Jakarta Barat,021 5606056,021 5606082,Restoran,40/80/A
A & W Family,"Stasiun KA Beos, Jl. Taman Stasiun Kota",PT. Biru Fast Food Nusantara Ltd,Zaina Siman,Jakarta Barat,,,Restoran,20/60/A
A & W Family,"Seasons City, Jl. Prof. Dr. Latumenten No. 33",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,021 6623456,021 6624232,Restoran,10/40/B
